"subject","block","event","position","condition","response","rt","accuracy","experiment","test","chance"
3598281,1,1,1,"predictable","caramelapple",1948.34,1,1,"order memory",0.166666666666667
3598281,1,1,2,"predictable","poutine",2480.04,1,1,"order memory",0.166666666666667
3598281,1,1,3,"predictable","mushrooms",2280.34,1,1,"order memory",0.166666666666667
3598281,1,1,4,"predictable","onion",1977.63,1,1,"order memory",0.166666666666667
3598281,1,1,5,"predictable","broccoli",3891.97,1,1,"order memory",0.166666666666667
3598281,1,1,6,"predictable","basil",1296.54,1,1,"order memory",0.166666666666667
3598281,1,3,1,"variable","pufferfish",1983.22,1,1,"order memory",0.166666666666667
3598281,1,3,2,"variable","dolphin",2029.53,1,1,"order memory",0.166666666666667
3598281,1,3,3,"variable","stingray",2326.65,1,1,"order memory",0.166666666666667
3598281,1,3,4,"variable","boar",1133.34,0,1,"order memory",0.166666666666667
3598281,1,3,5,"variable","crocodile",3242.39,0,1,"order memory",0.166666666666667
3598281,1,3,6,"variable","llama",961.58,1,1,"order memory",0.166666666666667
3598281,2,2,1,"variable","bettafish",2871.34,1,1,"order memory",0.166666666666667
3598281,2,2,2,"variable","chameleon",2771.4,1,1,"order memory",0.166666666666667
3598281,2,2,3,"variable","octopus",2544.44,1,1,"order memory",0.166666666666667
3598281,2,2,4,"variable","ladybug",1058.23,1,1,"order memory",0.166666666666667
3598281,2,2,5,"variable","gorilla",1770.51,1,1,"order memory",0.166666666666667
3598281,2,2,6,"variable","killerwhale",1058.42,1,1,"order memory",0.166666666666667
3598281,2,1,1,"predictable","peanutbutter",2542.77,1,1,"order memory",0.166666666666667
3598281,2,1,2,"predictable","acaibowl",1213.22,1,1,"order memory",0.166666666666667
3598281,2,1,3,"predictable","clams",4631.85,1,1,"order memory",0.166666666666667
3598281,2,1,4,"predictable","gummybears",2024.23,1,1,"order memory",0.166666666666667
3598281,2,1,5,"predictable","dragonfruit",808.95,1,1,"order memory",0.166666666666667
3598281,2,1,6,"predictable","cupnoodle",1175.29,1,1,"order memory",0.166666666666667
3598281,3,2,1,"predictable","orange",3538.42,1,1,"order memory",0.166666666666667
3598281,3,2,2,"predictable","lychee",1859.57,1,1,"order memory",0.166666666666667
3598281,3,2,3,"predictable","cookedchicken",3488.49,0,1,"order memory",0.166666666666667
3598281,3,2,4,"predictable","popcorn",4738.9,0,1,"order memory",0.166666666666667
3598281,3,2,5,"predictable","strawberries",1206.18,1,1,"order memory",0.166666666666667
3598281,3,2,6,"predictable","kiwi",672.19,1,1,"order memory",0.166666666666667
3598281,3,1,1,"variable","zebra",3163.65,1,1,"order memory",0.166666666666667
3598281,3,1,2,"variable","turtle",2550.9,1,1,"order memory",0.166666666666667
3598281,3,1,3,"variable","chicken",1125.67,1,1,"order memory",0.166666666666667
3598281,3,1,4,"variable","redpanda",1920.78,0,1,"order memory",0.166666666666667
3598281,3,1,5,"variable","lemur",1657.29,0,1,"order memory",0.166666666666667
3598281,3,1,6,"variable","sheep",958.65,0,1,"order memory",0.166666666666667
3598281,4,3,1,"predictable","cheese",2804.62,1,1,"order memory",0.166666666666667
3598281,4,3,2,"predictable","taco",1318.66,1,1,"order memory",0.166666666666667
3598281,4,3,3,"predictable","cereal",4155.39,0,1,"order memory",0.166666666666667
3598281,4,3,4,"predictable","burrito",1234.77,1,1,"order memory",0.166666666666667
3598281,4,3,5,"predictable","walnuts",1800.53,0,1,"order memory",0.166666666666667
3598281,4,3,6,"predictable","pizza",1160.12,1,1,"order memory",0.166666666666667
3598281,4,1,1,"variable","bear",2989.05,1,1,"order memory",0.166666666666667
3598281,4,1,2,"variable","hedgehog",6228.43,1,1,"order memory",0.166666666666667
3598281,4,1,3,"variable","cat",1190.77,1,1,"order memory",0.166666666666667
3598281,4,1,4,"variable","armadillo",1870.56,1,1,"order memory",0.166666666666667
3598281,4,1,5,"variable","moose",1504.5,1,1,"order memory",0.166666666666667
3598281,4,1,6,"variable","snake",1012.16,1,1,"order memory",0.166666666666667
3598281,5,4,1,"variable","hermitcrab",4090.77,1,1,"order memory",0.166666666666667
3598281,5,4,2,"variable","bloodhound",5164.88,1,1,"order memory",0.166666666666667
3598281,5,4,3,"variable","crow",2674.49,0,1,"order memory",0.166666666666667
3598281,5,4,4,"variable","cow",1685.66,1,1,"order memory",0.166666666666667
3598281,5,4,5,"variable","cuttlefish",1300.55,0,1,"order memory",0.166666666666667
3598281,5,4,6,"variable","rhino",1102.33,1,1,"order memory",0.166666666666667
3598281,5,2,1,"predictable","dumplings",3868.25,1,1,"order memory",0.166666666666667
3598281,5,2,2,"predictable","coconut",1230.34,1,1,"order memory",0.166666666666667
3598281,5,2,3,"predictable","apple",9801.77,1,1,"order memory",0.166666666666667
3598281,5,2,4,"predictable","rice",2139.87,1,1,"order memory",0.166666666666667
3598281,5,2,5,"predictable","chocolatemilk",1446.26,1,1,"order memory",0.166666666666667
3598281,5,2,6,"predictable","pancakes",1067.28,1,1,"order memory",0.166666666666667
3598281,6,4,1,"predictable","cake",2356.42,1,1,"order memory",0.166666666666667
3598281,6,4,2,"predictable","muffin",1434.25,1,1,"order memory",0.166666666666667
3598281,6,4,3,"predictable","edamame",9496.1,0,1,"order memory",0.166666666666667
3598281,6,4,4,"predictable","pretzel",1314.94,0,1,"order memory",0.166666666666667
3598281,6,4,5,"predictable","salad",1496.46,1,1,"order memory",0.166666666666667
3598281,6,4,6,"predictable","hummus",681.16,1,1,"order memory",0.166666666666667
3598281,6,3,1,"variable","ostrich",4131.01,1,1,"order memory",0.166666666666667
3598281,6,3,2,"variable","goose",1572.78,1,1,"order memory",0.166666666666667
3598281,6,3,3,"variable","emu",1387.93,1,1,"order memory",0.166666666666667
3598281,6,3,4,"variable","walrus",2564.01,1,1,"order memory",0.166666666666667
3598281,6,3,5,"variable","tiger",1213.65,1,1,"order memory",0.166666666666667
3598281,6,3,6,"variable","platypus",1329.3,1,1,"order memory",0.166666666666667
3598281,7,3,1,"predictable","bakedpotato",2556.52,1,1,"order memory",0.166666666666667
3598281,7,3,2,"predictable","cinnamon",2283.39,1,1,"order memory",0.166666666666667
3598281,7,3,3,"predictable","chocolate",1400.81,1,1,"order memory",0.166666666666667
3598281,7,3,4,"predictable","artichoke",1476.32,1,1,"order memory",0.166666666666667
3598281,7,3,5,"predictable","cherries",1104.76,1,1,"order memory",0.166666666666667
3598281,7,3,6,"predictable","pork",799.32,1,1,"order memory",0.166666666666667
3598281,7,4,1,"variable","koala",3645.17,1,1,"order memory",0.166666666666667
3598281,7,4,2,"variable","grasshopper",1452.42,1,1,"order memory",0.166666666666667
3598281,7,4,3,"variable","kangaroo",3272.69,1,1,"order memory",0.166666666666667
3598281,7,4,4,"variable","surgeonfish",1618.25,1,1,"order memory",0.166666666666667
3598281,7,4,5,"variable","tortoise",1414.08,1,1,"order memory",0.166666666666667
3598281,7,4,6,"variable","butterfly",1180.48,1,1,"order memory",0.166666666666667
3598281,8,2,1,"variable","toucan",4610.6,1,1,"order memory",0.166666666666667
3598281,8,2,2,"variable","chimp",2862.02,0,1,"order memory",0.166666666666667
3598281,8,2,3,"variable","pangolin",1850.7,0,1,"order memory",0.166666666666667
3598281,8,2,4,"variable","goat",4028.87,1,1,"order memory",0.166666666666667
3598281,8,2,5,"variable","penguin",1509.48,1,1,"order memory",0.166666666666667
3598281,8,2,6,"variable","goldenretriever",875.8,1,1,"order memory",0.166666666666667
3598281,8,4,1,"predictable","celery",3029.03,1,1,"order memory",0.166666666666667
3598281,8,4,2,"predictable","pie",1174.42,1,1,"order memory",0.166666666666667
3598281,8,4,3,"predictable","cupcake",1211.26,1,1,"order memory",0.166666666666667
3598281,8,4,4,"predictable","hotdog",4112.93,1,1,"order memory",0.166666666666667
3598281,8,4,5,"predictable","starfruit",683.77,1,1,"order memory",0.166666666666667
3598281,8,4,6,"predictable","raspberries",1128.92,1,1,"order memory",0.166666666666667
3601810,1,4,1,"predictable","hummingbird",2957.56,1,1,"order memory",0.166666666666667
3601810,1,4,2,"predictable","fox",2630.44,1,1,"order memory",0.166666666666667
3601810,1,4,3,"predictable","goose",2737.35,0,1,"order memory",0.166666666666667
3601810,1,4,4,"predictable","hippo",2862.11,0,1,"order memory",0.166666666666667
3601810,1,4,5,"predictable","shark",1726.66,0,1,"order memory",0.166666666666667
3601810,1,4,6,"predictable","whale",835.72,0,1,"order memory",0.166666666666667
3601810,1,3,1,"variable","fortunecookie",1381.94,1,1,"order memory",0.166666666666667
3601810,1,3,2,"variable","pineapple",1575.26,1,1,"order memory",0.166666666666667
3601810,1,3,3,"variable","guava",1610.45,0,1,"order memory",0.166666666666667
3601810,1,3,4,"variable","pancakes",1756.78,1,1,"order memory",0.166666666666667
3601810,1,3,5,"variable","burrito",1333.79,0,1,"order memory",0.166666666666667
3601810,1,3,6,"variable","kiwi",482.15,0,1,"order memory",0.166666666666667
3601810,2,3,1,"variable","orange",2090.87,1,1,"order memory",0.166666666666667
3601810,2,3,2,"variable","cinnamon",2185.08,1,1,"order memory",0.166666666666667
3601810,2,3,3,"variable","grapes",2132.15,1,1,"order memory",0.166666666666667
3601810,2,3,4,"variable","caramelapple",1815.56,0,1,"order memory",0.166666666666667
3601810,2,3,5,"variable","coconut",1648.15,0,1,"order memory",0.166666666666667
3601810,2,3,6,"variable","avocado",766.33,0,1,"order memory",0.166666666666667
3601810,2,1,1,"predictable","cat",1582.77,1,1,"order memory",0.166666666666667
3601810,2,1,2,"predictable","grasshopper",1769.56,1,1,"order memory",0.166666666666667
3601810,2,1,3,"predictable","wolf",1960.96,1,1,"order memory",0.166666666666667
3601810,2,1,4,"predictable","ferret",1652.38,1,1,"order memory",0.166666666666667
3601810,2,1,5,"predictable","goldenretriever",1145.56,1,1,"order memory",0.166666666666667
3601810,2,1,6,"predictable","elephant",574.61,1,1,"order memory",0.166666666666667
3601810,3,4,1,"predictable","bear",1699.02,1,1,"order memory",0.166666666666667
3601810,3,4,2,"predictable","beetle",981.53,1,1,"order memory",0.166666666666667
3601810,3,4,3,"predictable","horse",2085.18,1,1,"order memory",0.166666666666667
3601810,3,4,4,"predictable","rhino",3010.56,1,1,"order memory",0.166666666666667
3601810,3,4,5,"predictable","emu",1711.78,1,1,"order memory",0.166666666666667
3601810,3,4,6,"predictable","iguana",432.58,1,1,"order memory",0.166666666666667
3601810,3,2,1,"variable","cake",2740.24,1,1,"order memory",0.166666666666667
3601810,3,2,2,"variable","potatochips",1364.09,1,1,"order memory",0.166666666666667
3601810,3,2,3,"variable","nachos",2973.53,1,1,"order memory",0.166666666666667
